NDVI,Inflow,TempMinimum,TempMaximum,Precip
0.428,757.0225,4.866217,14.30098,76.46858
0.446,826.025,4.56565,14.47913,82.81417
0.431,961.1758,5.462742,15.16823,69.67317
0.446,823.375,5.648483,15.74978,58.17392
0.443,828.7333,4.732292,14.46839,87.48133
0.448,781.6333,5.31405,15.21879,70.59108
0.46,787.1892,5.909458,15.77872,79.08242
0.457,646.6458,4.870067,14.5488,65.36667
0.478,594.3233,5.666183,15.53584,86.90125
0.438,809.1125,4.9815,14.46071,65.81033
0.445,1082.3,5.027217,14.48832,84.09925
0.458,777.9992,5.6112,15.09428,64.05108
0.458,1105.617,5.341108,14.93898,81.89167
0.462,1208.85,5.275167,14.33302,78.71808
0.473,1198.034,5.2913,14.45374,93.24892
0.466,832.9533,4.348517,14.66249,73.15075
0.477,773.34,5.709925,14.90468,74.11117
0.455,452.7717,6.419383,15.89297,62.77583
0.449,447.2625,6.2618,15.54992,50.1315
0.471,357.1312,6.238183,15.61391,52.08558
0.469,538.6085,6.218767,15.41805,57.25117
0.447,727.2297,5.93695,14.56206,95.03242
0.471,551.832,6.361408,15.55809,69.94408
0.46,840.1571,5.741083,14.4937,70.80958
0.459,762.5872,6.663567,15.32446,93.03667
0.474,639.163,5.954317,15.61632,58.49933
0.448,612.7794,6.257558,15.19154,75.21517
0.457,728.2697,6.202842,15.46223,63.18042
0.464,851.4905,6.515442,15.44659,81.88542
0.46,691.9222,6.368392,15.16399,65.91742
0.449,640.6841,5.895708,14.40346,61.78517
0.475,687.7078,6.237725,15.40235,76.58933
