NDVI_Q1,NDVI_Q2,NDVI_Q3,NDVI_Q4,Inflow_Q1,Inflow_Q2,Inflow_Q3,Inflow_Q4
0.286,0.443,0.625,0.357,423.19,1523,783.3,298.6
0.274,0.449,0.633,0.43,412.2666667,1901.333333,798.5666667,191.9333333
0.264,0.456,0.599,0.405,347.3366667,1737.333333,1461.333333,298.7
0.282,0.461,0.622,0.419,334.8333333,1643.666667,1022.266667,292.7333333
0.286,0.442,0.654,0.39,460.1333333,1713,910.1666667,231.6333333
0.271,0.462,0.638,0.422,570.8666667,1855.666667,474.8666667,225.1333333
0.278,0.479,0.647,0.435,418.5,1484.633333,1111.533333,134.09
0.293,0.435,0.671,0.43,297.2,1508.966667,702.4666667,77.95
0.317,0.494,0.659,0.444,426.8333333,1553.766667,272.1433333,124.55
0.283,0.446,0.623,0.402,464.6666667,2305,407.6666667,59.11666667
0.274,0.462,0.63,0.414,383.1666667,2525.333333,1230.2,190.5
0.287,0.496,0.646,0.403,561.4333333,1929,568.0633333,53.5
0.276,0.481,0.632,0.442,301.8,2024,1788.666667,308
0.277,0.492,0.664,0.417,457.4333333,2321.666667,1789.666667,266.6333333
0.295,0.497,0.671,0.43,700.5,2577.333333,1351.933333,162.37
0.306,0.482,0.671,0.406,212.3466667,1458.666667,1192.866667,467.9333333
0.303,0.527,0.656,0.424,434.3333333,2057.333333,575.6666667,26.02666667
0.298,0.488,0.632,0.404,318.7333333,1044.666667,410.7366667,36.95
0.288,0.502,0.616,0.391,253.4847333,759.3693667,624.0114333,152.1846333
0.312,0.53,0.647,0.396,155.3708667,627.5494333,482.2021667,163.4024333
0.286,0.522,0.642,0.428,329.8382333,1060.358367,598.7902333,165.4471
0.274,0.476,0.626,0.413,518.8418667,1444.5,684.1666667,261.4101667
0.298,0.523,0.655,0.409,412.8599667,1040.2688,538.9031667,215.2958667
0.286,0.47,0.662,0.422,689.3317,1400.103667,987.7514667,283.4413667
0.279,0.506,0.636,0.415,453.2243667,1189.5464,1027.7836,379.7944
0.31,0.529,0.65,0.405,532.5546667,1136.186133,686.2561667,201.6551667
0.26,0.496,0.639,0.398,360.0111333,1150.0117,647.1930333,293.9016667
0.315,0.475,0.673,0.366,498.5537667,1323.923,881.3878667,209.2141333
0.269,0.528,0.607,0.451,407.1142,1291.067733,1442.947867,264.8322
0.265,0.528,0.646,0.4,466.1343667,1369.977333,675.6798333,255.8972333
0.258,0.476,0.656,0.408,304.1988333,1075.450267,910.2954667,272.7918
0.282,0.536,0.665,0.416,449.5599,1166.952733,894.8216,239.4968667
